Disease	cervical cancer	Rank_cervical cancer
HG00096	2.5073	0.3494
HG00097	1.4868	0.1178
HG00099	4.3987	0.6066
HG00100	1.9899	0.1801
HG00101	1.9899	0.1801
HG00102	1.9899	0.1801
HG00103	2.9586	0.4022
HG00105	3.7419	0.4996
HG00106	3.7277	0.4936
HG00107	1.7544	0.151
HG00108	1.9899	0.1801
HG00109	2.7707	0.3726
HG00110	3.5043	0.4808
HG00111	1.9899	0.1801
HG00112	6.9469	0.9609
HG00113	5.5135	0.8075
HG00114	2.9586	0.4022
HG00115	4.6725	0.6122
HG00116	5.2101	0.8063
HG00117	3.9598	0.5036
HG00118	5.5135	0.8075
HG00119	2.9586	0.4022
HG00120	2.7707	0.3726
HG00121	2.9586	0.4022
HG00122	2.7707	0.3726
HG00123	5.8873	0.8966
HG00125	5.8873	0.8966
HG00126	6.9469	0.9609
HG00127	4.6725	0.6122
HG00128	1.4868	0.1178
HG00129	2.7707	0.3726
HG00130	1.4868	0.1178
HG00131	3.491	0.4649
HG00132	6.2865	0.9577
HG00133	2.3481	0.2704
HG00136	3.491	0.4649
HG00137	2.3481	0.2704
HG00138	1.9899	0.1801
HG00139	2.7707	0.3726
HG00140	4.6725	0.6122
HG00141	6.9469	0.9609
HG00142	6.9469	0.9609
HG00143	4.4154	0.6082
HG00145	0.945	0.0288
HG00146	3.1591	0.4605
HG00148	2.3481	0.2704
HG00149	5.8873	0.8966
HG00150	4.6725	0.6122
HG00151	4.6725	0.6122
HG00154	3.491	0.4649
HG00155	3.7277	0.4936
HG00157	2.5073	0.3494
HG00158	1.9899	0.1801
HG00159	3.9598	0.5036
HG00160	1.9899	0.1801
HG00171	4.6725	0.6122
HG00173	2.3481	0.2704
HG00174	2.5073	0.3494
HG00176	1.26	0.0938
HG00177	1.4868	0.1178
HG00178	2.3481	0.2704
HG00179	1.4868	0.1178
HG00180	2.9586	0.4022
HG00181	5.5135	0.8075
HG00182	4.9893	0.7772
HG00183	6.9469	0.9609
HG00185	1.7544	0.151
HG00186	2.7707	0.3726
HG00187	5.8873	0.8966
HG00188	3.491	0.4649
HG00189	3.491	0.4649
HG00190	2.9586	0.4022
HG00231	4.6725	0.6122
HG00232	2.7707	0.3726
HG00233	2.7707	0.3726
HG00234	6.9469	0.9609
HG00235	3.9598	0.5036
HG00236	2.5073	0.3494
HG00237	4.9893	0.7772
HG00238	1.7544	0.151
HG00239	2.9586	0.4022
HG00240	4.6725	0.6122
HG00242	4.6725	0.6122
HG00243	2.9586	0.4022
HG00244	5.8873	0.8966
HG00245	5.8873	0.8966
HG00246	7.4179	0.9936
HG00250	5.5135	0.8075
HG00251	2.3481	0.2704
HG00252	1.4868	0.1178
HG00253	1	0.0308
HG00254	0.885	0.0176
HG00255	2.9586	0.4022
HG00256	1.18	0.0647
HG00257	2.7707	0.3726
HG00258	4.9893	0.7772
HG00259	5.8873	0.8966
HG00260	5.5135	0.8075
HG00261	4.1351	0.6022
HG00262	1.9899	0.1801
HG00263	5.8873	0.8966
HG00264	2.3481	0.2704
HG00265	5.5135	0.8075
HG00266	2.9586	0.4022
HG00267	1.18	0.0647
HG00268	2.5073	0.3494
HG00269	1	0.0308
HG00271	4.6725	0.6122
HG00272	2.3481	0.2704
HG00273	1.3924	0.1074
HG00274	2.9586	0.4022
HG00275	5.5135	0.8075
HG00276	2.7707	0.3726
HG00277	3.491	0.4649
HG00278	2.9586	0.4022
HG00280	8.753	0.9976
HG00281	6.9469	0.9609
HG00282	1.7544	0.151
HG00284	4.6725	0.6122
HG00285	5.8873	0.8966
HG00288	5.8873	0.8966
HG00290	5.8873	0.8966
HG00304	5.8873	0.8966
HG00306	1.9899	0.1801
HG00308	3.491	0.4649
HG00309	2.3481	0.2704
HG00310	1.761	0.155
HG00311	2.9586	0.4022
HG00313	2.9586	0.4022
HG00315	1.3924	0.1074
HG00318	6.9469	0.9609
HG00319	5.8873	0.8966
HG00320	1.3924	0.1074
HG00321	5.8873	0.8966
HG00323	1	0.0308
HG00324	2.5073	0.3494
HG00325	3.491	0.4649
HG00326	2.9586	0.4022
HG00327	5.5135	0.8075
HG00328	3.7277	0.4936
HG00329	6.2865	0.9577
HG00330	5.8873	0.8966
HG00331	3.7277	0.4936
HG00332	4.1351	0.6022
HG00334	2.9586	0.4022
HG00335	2.5073	0.3494
HG00336	2.7707	0.3726
HG00337	2.3481	0.2704
